Phone_Prefix,Platform,Subscription_Plan,Match_Date,Login_Status,Buffer_Count,Watch_Minutes,App_Rating,Target_Uninstall
017,Bioscope,Daily_Pass,2026-06-20,Stuck_at_Number_Screen,3.0,10.0,1.0,1
019,Toffee,Daily_Pass,2026-07-09,Stuck_at_Number_Screen,1.0,9.0,,0
018,Bioscope,Daily_Pass,2026-07-09,OTP_Failed,1.0,0.0,1.0,1
019,Bioscope,Daily_Pass,2026-06-28,Success,16.0,50.0,5.0,1
019,Toffee,Daily_Pass,2026-06-13,Success,1.0,88.0,4.0,0
017,Bioscope,WC_Premium,2026-07-01,Success,2.0,88.0,3.0,0
017,Bioscope,Daily_Pass,2026-06-14,Stuck_at_Number_Screen,3.0,3.0,,1
017,Toffee,WC_Premium,2026-07-01,OTP_Failed,1.0,0.0,1.0,1
013,Toffee,WC_Premium,2026-07-06,Success,2.0,74.0,,0
019,Bioscope,WC_Premium,2026-07-07,Success,16.0,102.0,,0
019,Toffee,Daily_Pass,2026-07-06,Success,4.0,55.0,4.0,0
017,Bioscope,WC_Premium,2026-06-26,Stuck_at_Number_Screen,0.0,10.0,1.0,1
018,Toffee,Daily_Pass,2026-06-14,Success,3.0,76.0,5.0,0
013,Toffee,Daily_Pass,2026-06-29,Success,1.0,134.0,4.0,0
017,Other_Partner,Daily_Pass,2026-07-01,Success,5.0,69.0,5.0,0
017,Other_Partner,WC_Premium,2026-06-13,Success,7.0,99.0,5.0,0
017,Toffee,Daily_Pass,2026-06-17,Buffer_Timeout,2.0,15.0,1.0,0
014,Bioscope,WC_Premium,2026-07-01,Buffer_Timeout,0.0,2.0,1.0,1
017,Toffee,Daily_Pass,2026-06-15,Success,16.0,87.0,4.0,0
018,Toffee,WC_Premium,2026-07-05,Success,21.0,112.0,1.0,0
016,Toffee,WC_Premium,2026-07-01,Success,11.0,105.0,5.0,0
013,Toffee,WC_Premium,2026-07-01,Success,2.0,111.0,5.0,0
015,Bioscope,Weekly_Pass,2026-06-23,OTP_Failed,6.0,12.0,1.0,1
015,Bioscope,WC_Premium,2026-06-11,Success,2.0,60.0,4.0,0
017,Other_Partner,WC_Premium,2026-06-13,OTP_Failed,3.0,6.0,1.0,0
018,Bioscope,Daily_Pass,2026-06-26,Success,4.0,116.0,4.0,0
017,Toffee,Weekly_Pass,2026-06-11,Buffer_Timeout,3.0,4.0,1.0,0
017,Bioscope,WC_Premium,2026-06-16,Success,7.0,95.0,5.0,0
017,Other_Partner,Daily_Pass,2026-06-28,Success,10.0,95.0,,0
018,Bioscope,WC_Premium,2026-07-01,OTP_Failed,2.0,3.0,,1
018,Bioscope,Daily_Pass,2026-06-19,OTP_Failed,0.0,4.0,,0
017,Other_Partner,Weekly_Pass,2026-07-02,Success,1.0,71.0,5.0,0
017,Toffee,Daily_Pass,2026-07-03,Buffer_Timeout,4.0,5.0,1.0,1
014,Bioscope,Daily_Pass,2026-07-05,Success,4.0,117.0,5.0,0
017,Bioscope,Daily_Pass,2026-06-16,Success,4.0,116.0,3.0,0
017,Other_Partner,WC_Premium,2026-06-26,Buffer_Timeout,2.0,2.0,1.0,1
018,Toffee,Daily_Pass,2026-07-07,Success,2.0,54.0,,0
015,Bioscope,WC_Premium,2026-07-07,Success,4.0,89.0,5.0,0
017,Bioscope,WC_Premium,2026-07-03,Stuck_at_Number_Screen,3.0,0.0,,0
016,Toffee,Weekly_Pass,2026-07-10,OTP_Failed,1.0,2.0,1.0,1
019,Bioscope,Daily_Pass,2026-06-13,Success,30.0,110.0,,0
017,Toffee,Daily_Pass,2026-06-30,Success,3.0,80.0,4.0,1
016,Toffee,Weekly_Pass,2026-06-29,Success,1.0,101.0,,0
013,Toffee,Daily_Pass,2026-07-02,Success,6.0,66.0,4.0,0
018,Bioscope,Weekly_Pass,2026-07-01,Buffer_Timeout,3.0,11.0,,0
018,Toffee,WC_Premium,2026-06-25,Success,2.0,80.0,4.0,0
018,Toffee,Daily_Pass,2026-06-27,Success,15.0,109.0,5.0,0
017,Toffee,Weekly_Pass,2026-07-06,OTP_Failed,0.0,11.0,1.0,1
019,Toffee,WC_Premium,2026-06-20,OTP_Failed,5.0,3.0,1.0,0
017,Toffee,WC_Premium,2026-07-03,OTP_Failed,2.0,0.0,1.0,1
017,Toffee,WC_Premium,2026-06-25,Success,16.0,89.0,,0
017,Bioscope,WC_Premium,2026-06-28,Buffer_Timeout,2.0,0.0,2.0,1
018,Bioscope,Daily_Pass,2026-06-25,Success,14.0,82.0,4.0,0
016,Toffee,WC_Premium,2026-06-25,Success,10.0,90.0,,0
017,Toffee,WC_Premium,2026-06-15,Stuck_at_Number_Screen,2.0,4.0,1.0,0
018,Bioscope,Weekly_Pass,2026-06-19,Success,11.0,62.0,5.0,0
017,Toffee,Daily_Pass,2026-06-30,Stuck_at_Number_Screen,2.0,10.0,1.0,1
018,Other_Partner,Weekly_Pass,2026-07-02,Success,2.0,89.0,,0
017,Bioscope,Daily_Pass,2026-06-30,Buffer_Timeout,2.0,11.0,,1
016,Toffee,Daily_Pass,2026-07-07,Success,9.0,110.0,4.0,0
013,Toffee,Weekly_Pass,2026-07-03,Buffer_Timeout,0.0,9.0,1.0,0
014,Bioscope,Weekly_Pass,2026-07-08,OTP_Failed,1.0,15.0,2.0,1
017,Toffee,Weekly_Pass,2026-07-05,OTP_Failed,2.0,3.0,1.0,1
017,Toffee,Daily_Pass,2026-07-07,Success,2.0,79.0,4.0,0
017,Toffee,WC_Premium,2026-06-23,Buffer_Timeout,4.0,9.0,,0
014,Bioscope,Daily_Pass,2026-07-02,Success,47.0,124.0,1.0,0
019,Bioscope,Daily_Pass,2026-07-10,Success,4.0,72.0,,0
017,Toffee,Weekly_Pass,2026-06-24,OTP_Failed,2.0,4.0,1.0,1
016,Bioscope,Daily_Pass,2026-06-20,Success,1.0,100.0,4.0,0
019,Toffee,Daily_Pass,2026-06-20,Success,3.0,111.0,,0
018,Bioscope,Daily_Pass,2026-07-07,Stuck_at_Number_Screen,0.0,4.0,1.0,1
018,Toffee,WC_Premium,2026-06-29,Success,2.0,36.0,4.0,0
017,Bioscope,Weekly_Pass,2026-07-07,Stuck_at_Number_Screen,5.0,10.0,1.0,1
017,Other_Partner,Daily_Pass,2026-07-04,Success,44.0,57.0,1.0,0
019,Toffee,Daily_Pass,2026-06-19,Success,1.0,112.0,3.0,0
014,Toffee,Weekly_Pass,2026-06-21,Success,2.0,81.0,5.0,0
018,Toffee,WC_Premium,2026-06-11,OTP_Failed,1.0,8.0,1.0,1
017,Toffee,Weekly_Pass,2026-07-07,Stuck_at_Number_Screen,0.0,11.0,2.0,1
017,Toffee,WC_Premium,2026-06-18,Success,3.0,112.0,,0
016,Bioscope,Weekly_Pass,2026-07-02,Success,9.0,105.0,,0
019,Other_Partner,WC_Premium,2026-06-27,Success,2.0,96.0,5.0,0
019,Toffee,WC_Premium,2026-06-19,OTP_Failed,0.0,15.0,1.0,1
019,Bioscope,WC_Premium,2026-07-08,OTP_Failed,2.0,6.0,2.0,1
018,Bioscope,WC_Premium,2026-06-22,Success,8.0,49.0,5.0,0
017,Bioscope,Weekly_Pass,2026-06-21,Stuck_at_Number_Screen,2.0,3.0,,1
017,Toffee,WC_Premium,2026-07-07,Stuck_at_Number_Screen,2.0,5.0,,0
019,Toffee,Weekly_Pass,2026-06-11,Success,1.0,99.0,,0
018,Toffee,WC_Premium,2026-07-04,OTP_Failed,0.0,2.0,2.0,1
017,Toffee,Daily_Pass,2026-06-11,Stuck_at_Number_Screen,0.0,5.0,1.0,1
017,Bioscope,Weekly_Pass,2026-06-22,Buffer_Timeout,3.0,10.0,1.0,0
016,Bioscope,WC_Premium,2026-06-18,Success,5.0,129.0,,0
017,Toffee,Daily_Pass,2026-06-23,Success,11.0,65.0,3.0,0
017,Toffee,Weekly_Pass,2026-06-12,Buffer_Timeout,0.0,5.0,,0
018,Other_Partner,WC_Premium,2026-06-25,Success,12.0,64.0,5.0,0
016,Bioscope,Daily_Pass,2026-06-28,Success,9.0,84.0,4.0,0
016,Bioscope,Weekly_Pass,2026-06-25,Success,9.0,74.0,4.0,0
017,Toffee,Weekly_Pass,2026-07-09,OTP_Failed,2.0,7.0,1.0,1
016,Bioscope,Weekly_Pass,2026-07-09,Success,2.0,95.0,4.0,0
017,Bioscope,Daily_Pass,2026-06-20,Buffer_Timeout,1.0,2.0,1.0,0
017,Bioscope,Daily_Pass,2026-06-18,Success,0.0,89.0,,0
016,Toffee,Daily_Pass,2026-06-14,OTP_Failed,4.0,1.0,1.0,1
018,Toffee,Daily_Pass,2026-06-17,Success,18.0,104.0,,0
019,Toffee,Daily_Pass,2026-06-25,Success,1.0,95.0,,0
016,Bioscope,WC_Premium,2026-07-06,Success,0.0,94.0,4.0,0
018,Other_Partner,Weekly_Pass,2026-06-23,Buffer_Timeout,2.0,0.0,,0
017,Other_Partner,WC_Premium,2026-06-20,Success,20.0,133.0,,0
013,Other_Partner,Daily_Pass,2026-07-06,Success,3.0,64.0,4.0,0
017,Toffee,Weekly_Pass,2026-06-15,OTP_Failed,1.0,0.0,1.0,0
017,Toffee,Daily_Pass,2026-06-22,Success,8.0,129.0,,0
015,Toffee,WC_Premium,2026-06-12,OTP_Failed,1.0,2.0,1.0,1
013,Toffee,WC_Premium,2026-07-07,Success,12.0,133.0,5.0,0
019,Bioscope,WC_Premium,2026-07-07,Stuck_at_Number_Screen,1.0,7.0,1.0,1
018,Bioscope,Daily_Pass,2026-06-28,Success,8.0,62.0,3.0,0
019,Toffee,WC_Premium,2026-06-23,Stuck_at_Number_Screen,2.0,8.0,2.0,1
018,Bioscope,Weekly_Pass,2026-07-04,OTP_Failed,0.0,0.0,2.0,1
018,Other_Partner,WC_Premium,2026-06-29,Success,19.0,128.0,,0
018,Toffee,Weekly_Pass,2026-06-20,Success,1.0,79.0,5.0,0
017,Toffee,Weekly_Pass,2026-07-04,Success,4.0,70.0,4.0,0
016,Toffee,Daily_Pass,2026-06-23,Buffer_Timeout,3.0,7.0,1.0,0
017,Toffee,Weekly_Pass,2026-06-29,Success,65.0,85.0,1.0,0
017,Bioscope,Daily_Pass,2026-06-22,Success,1.0,107.0,4.0,0
018,Toffee,Daily_Pass,2026-06-15,Success,8.0,109.0,4.0,0
017,Toffee,Daily_Pass,2026-06-13,Buffer_Timeout,3.0,4.0,1.0,0
014,Other_Partner,WC_Premium,2026-06-27,Success,2.0,90.0,3.0,0
015,Bioscope,Daily_Pass,2026-06-25,Success,9.0,108.0,4.0,0
014,Toffee,WC_Premium,2026-07-10,OTP_Failed,1.0,12.0,,1
013,Other_Partner,WC_Premium,2026-06-19,Buffer_Timeout,3.0,7.0,1.0,0
017,Toffee,WC_Premium,2026-07-01,OTP_Failed,3.0,6.0,,0
014,Toffee,WC_Premium,2026-06-13,Success,7.0,98.0,5.0,0
013,Bioscope,WC_Premium,2026-06-14,Success,8.0,99.0,,0
015,Toffee,Daily_Pass,2026-07-09,Success,15.0,89.0,4.0,0
015,Bioscope,Daily_Pass,2026-07-09,Success,9.0,149.0,4.0,0
019,Toffee,Weekly_Pass,2026-07-08,OTP_Failed,3.0,6.0,1.0,0
017,Toffee,Weekly_Pass,2026-07-02,OTP_Failed,1.0,0.0,1.0,1
013,Bioscope,Daily_Pass,2026-06-18,Buffer_Timeout,1.0,1.0,,0
019,Toffee,Weekly_Pass,2026-06-28,OTP_Failed,4.0,3.0,1.0,0
017,Bioscope,Weekly_Pass,2026-06-12,Success,30.0,63.0,1.0,1
017,Bioscope,WC_Premium,2026-06-22,Stuck_at_Number_Screen,1.0,0.0,1.0,1
018,Other_Partner,Weekly_Pass,2026-07-08,Success,7.0,95.0,5.0,0
014,Bioscope,Weekly_Pass,2026-06-13,Success,2.0,66.0,5.0,0
016,Toffee,Weekly_Pass,2026-06-22,OTP_Failed,1.0,2.0,1.0,1
018,Bioscope,Weekly_Pass,2026-07-02,Success,17.0,76.0,4.0,0
017,Bioscope,WC_Premium,2026-07-05,Success,12.0,74.0,,0
018,Bioscope,Daily_Pass,2026-06-19,Success,6.0,87.0,5.0,0
015,Bioscope,Weekly_Pass,2026-07-06,Success,1.0,82.0,,0
017,Bioscope,Weekly_Pass,2026-07-05,Success,4.0,70.0,5.0,0
018,Toffee,Weekly_Pass,2026-06-19,Success,2.0,121.0,4.0,0
019,Bioscope,Daily_Pass,2026-06-16,Buffer_Timeout,3.0,9.0,1.0,0
016,Toffee,Daily_Pass,2026-07-07,Buffer_Timeout,5.0,3.0,,0
016,Toffee,Daily_Pass,2026-06-20,Buffer_Timeout,1.0,8.0,1.0,0
016,Bioscope,Daily_Pass,2026-06-13,Buffer_Timeout,2.0,14.0,1.0,0
013,Toffee,WC_Premium,2026-06-26,Buffer_Timeout,3.0,0.0,,1
017,Toffee,Weekly_Pass,2026-07-01,OTP_Failed,2.0,4.0,,1
019,Toffee,Daily_Pass,2026-07-02,Buffer_Timeout,0.0,1.0,2.0,0
019,Bioscope,Daily_Pass,2026-06-19,OTP_Failed,0.0,3.0,1.0,1
019,Toffee,Daily_Pass,2026-06-19,Stuck_at_Number_Screen,5.0,12.0,1.0,0
014,Bioscope,WC_Premium,2026-06-13,Success,7.0,88.0,5.0,0
018,Toffee,Weekly_Pass,2026-07-09,OTP_Failed,2.0,13.0,1.0,0
018,Toffee,WC_Premium,2026-07-03,Buffer_Timeout,2.0,5.0,1.0,1
019,Toffee,Daily_Pass,2026-07-10,Success,6.0,88.0,5.0,0
018,Bioscope,WC_Premium,2026-06-19,Success,7.0,79.0,4.0,0
016,Toffee,Daily_Pass,2026-06-22,Success,10.0,90.0,,0
019,Other_Partner,Daily_Pass,2026-06-13,OTP_Failed,1.0,8.0,1.0,0
019,Other_Partner,Daily_Pass,2026-07-06,OTP_Failed,1.0,0.0,1.0,0
017,Bioscope,Weekly_Pass,2026-06-15,Success,4.0,111.0,,0
013,Other_Partner,Daily_Pass,2026-07-10,Success,2.0,50.0,,0
017,Toffee,Weekly_Pass,2026-06-11,Buffer_Timeout,2.0,3.0,1.0,0
018,Bioscope,WC_Premium,2026-06-19,Stuck_at_Number_Screen,3.0,0.0,,0
017,Bioscope,Daily_Pass,2026-07-06,Success,10.0,80.0,4.0,0
018,Bioscope,Daily_Pass,2026-06-27,Stuck_at_Number_Screen,1.0,6.0,1.0,1
018,Bioscope,WC_Premium,2026-06-14,Success,16.0,110.0,,0
017,Bioscope,Weekly_Pass,2026-06-24,Success,2.0,108.0,5.0,0
018,Other_Partner,WC_Premium,2026-06-30,Stuck_at_Number_Screen,2.0,0.0,1.0,0
017,Toffee,Daily_Pass,2026-07-04,Stuck_at_Number_Screen,1.0,6.0,2.0,1
017,Bioscope,Daily_Pass,2026-06-15,Success,40.0,114.0,,1
019,Bioscope,Daily_Pass,2026-06-22,Success,6.0,95.0,5.0,0
013,Bioscope,WC_Premium,2026-06-23,Success,8.0,103.0,4.0,0
017,Toffee,WC_Premium,2026-06-23,Buffer_Timeout,1.0,2.0,1.0,0
018,Bioscope,WC_Premium,2026-06-29,Buffer_Timeout,1.0,4.0,2.0,1
019,Other_Partner,Weekly_Pass,2026-06-27,Success,6.0,41.0,4.0,0
017,Toffee,WC_Premium,2026-06-27,Success,2.0,81.0,,0
018,Bioscope,Weekly_Pass,2026-06-30,Success,5.0,80.0,3.0,0
017,Toffee,Weekly_Pass,2026-06-17,Stuck_at_Number_Screen,1.0,0.0,2.0,1
017,Other_Partner,WC_Premium,2026-06-25,Success,2.0,55.0,3.0,0
018,Toffee,Daily_Pass,2026-07-04,Success,16.0,104.0,5.0,0
018,Toffee,Daily_Pass,2026-06-11,OTP_Failed,4.0,12.0,2.0,1
018,Toffee,Daily_Pass,2026-07-09,Success,10.0,90.0,,1
016,Bioscope,WC_Premium,2026-06-18,Success,2.0,80.0,4.0,0
015,Toffee,Daily_Pass,2026-07-01,Success,6.0,80.0,4.0,0
018,Bioscope,Daily_Pass,2026-07-02,OTP_Failed,0.0,14.0,1.0,1
017,Other_Partner,WC_Premium,2026-07-10,Stuck_at_Number_Screen,0.0,6.0,1.0,0
019,Bioscope,Daily_Pass,2026-06-18,Success,9.0,86.0,4.0,0
017,Toffee,Daily_Pass,2026-06-20,Success,4.0,132.0,4.0,0
013,Other_Partner,Weekly_Pass,2026-06-27,Success,8.0,106.0,4.0,0
017,Bioscope,WC_Premium,2026-06-11,Success,0.0,112.0,5.0,0
017,Toffee,Daily_Pass,2026-07-04,Success,1.0,83.0,3.0,0
015,Toffee,Weekly_Pass,2026-06-24,OTP_Failed,3.0,10.0,,1
019,Toffee,Daily_Pass,2026-07-08,Buffer_Timeout,3.0,2.0,1.0,1
016,Bioscope,Weekly_Pass,2026-06-18,Stuck_at_Number_Screen,1.0,5.0,1.0,1
013,Toffee,Daily_Pass,2026-06-30,OTP_Failed,0.0,9.0,1.0,1
017,Toffee,Daily_Pass,2026-07-07,OTP_Failed,2.0,9.0,1.0,0
017,Bioscope,Weekly_Pass,2026-07-08,Buffer_Timeout,0.0,8.0,,0
017,Bioscope,WC_Premium,2026-06-25,Stuck_at_Number_Screen,2.0,0.0,1.0,1
018,Bioscope,WC_Premium,2026-07-09,OTP_Failed,1.0,1.0,2.0,0
016,Bioscope,WC_Premium,2026-07-01,Success,0.0,81.0,4.0,0
016,Toffee,Weekly_Pass,2026-07-05,Success,2.0,106.0,,0
017,Bioscope,Daily_Pass,2026-07-10,Success,5.0,87.0,4.0,0
015,Toffee,Daily_Pass,2026-06-28,Buffer_Timeout,1.0,0.0,1.0,0
016,Bioscope,WC_Premium,2026-07-10,Success,19.0,96.0,4.0,0
018,Bioscope,Weekly_Pass,2026-06-11,Success,1.0,109.0,4.0,0
018,Toffee,WC_Premium,2026-07-03,OTP_Failed,2.0,0.0,1.0,1
013,Other_Partner,Daily_Pass,2026-06-20,Success,1.0,71.0,4.0,0
